"senator_name","number_expenses","amount","State","St.Abrv","Party"
"A. MITCHELL MCCONNELL, JR.",210,1452824.96,"Kentucky","KY","R"
"AL FRANKEN",495,1577990.17,"Minnesota","MN","D"
"AMY KLOBUCHAR",594,1525903.23,"Minnesota","MN","D"
"ANGUS KING",499,1492982.82,"Maine","ME","I"
"BARBARA A. MIKULSKI",307,1501005.8,"Maryland","MD","D"
"BARBARA BOXER",495,2317059.71,"California","CA","D"
"BEN SASSE",316,1211702.39,"Nebraska","NE","R"
"BENJAMIN L CARDIN",140,1574372.25,"Maryland","MD","D"
"BERNARD SANDERS",432,1132715.61,"Vermont","VT","I"
"BILL CASSIDY",521,1144496.63,"Louisiana","LA","R"
"BILL NELSON",475,1995125.73,"Florida","FL","D"
"BOB CORKER",807,1274591.72,"Tennessee","TN","R"
"BRIAN SCHATZ",222,1590383.68,"Hawaii","HI","D"
"CARL LEVIN",2,846.35,"Michigan","MI","D"
"CHARLES E. GRASSLEY",377,1237469.19,"Iowa","IA","R"
"CHARLES E. SCHUMER",396,2103018.24,"New York","NY","D"
"CHRIS MURPHY",381,1396330.11,"Connecticut","CT","D"
"CHRISTOPHER A. COONS",336,1445965.3,"Delaware","DE","D"
"CLAIRE MCCASKILL",398,1423638.89,"Missouri","MO","D"
"CORY BOOKER",268,1686298.24,"New Jersey","NJ","D"
"CORY GARDNER",664,1214680.13,"Colorado","CO","R"
"DAN SULLIVAN",162,1436231.14,"Alaska","AL","R"
"DANIEL R. COATS",726,1184405.01,"Indiana","IN","R"
"DAVID PERDUE",329,1179522.73,"Georgia","GA","R"
"DAVID VITTER",382,1079213.67,"Louisiana","LA","R"
"DEAN HELLER",185,1126896.12,"Nevada","NV","R"
"DEB FISCHER",397,1408806.41,"Nebraska","NE","R"
"DEBBIE A. STABENOW",340,1757543.13,"Michigan","MI","D"
"DIANNE FEINSTEIN",394,2226851.24,"California","CA","D"
"EDWARD MARKEY",54,1238823.4,"Massachusetts","MA","D"
"ELIZABETH WARREN",232,1397749.22,"Massachusetts","MA","D"
"GARY PETERS",318,1366531.95,"Michigan","MI","D"
"HARRY REID",346,1422423.9,"Nevada","NV","D"
"HEIDI HEITKAMP",422,1475068.09,"North Dakota","ND","D"
"JAMES E. RISCH",343,1239572.99,"Idaho","ID","R"
"JAMES LANKFORD",437,1404745.55,"Oklahoma","OK","R"
"JAMES M. INHOFE",553,1585524.13,"Oklahoma","OK","R"
"JEANNE SHAHEEN",466,1247605.71,"New Hampshire","NH","D"
"JEFF FLAKE",312,1356614.87,"Arizona","AZ","R"
"JEFF MERKLEY",363,1435149.91,"Oregon","OR","D"
"JEFFERSON B. SESSIONS, III",307,1233137.72,"Alabama","AL","R"
"JERRY MORAN",465,1427330.22,"Kansas","KS","R"
"JOE DONNELLY",896,1472284.84,"Indiana","IN","D"
"JOE MANCHIN",568,1303672.56,"West Virginia","WV","D"
"JOHN BARRASSO",362,1251880.76,"Wyoming","WY","R"
"JOHN BOOZMAN",742,1185036.97,"Arkansas","AR","R"
"JOHN CORNYN",569,2003887.42,"Texas","TX","R"
"JOHN F. REED",106,1298307.62,"Rhode Island","RI","D"
"JOHN HOEVEN",206,1175711.37,"North Dakota","ND","R"
"JOHN MCCAIN",194,1390206.42,"Arizona","AZ","R"
"JOHN R. THUNE",328,1431860.42,"South Dakota","SD","R"
"JOHNNY ISAKSON",990,1450679.87,"Georgia","GA","R"
"JON TESTER",606,1408149.29,"Montana","MT","D"
"JONI ERNST",422,1399710.16,"Iowa","IA","R"
"KELLY AYOTTE",671,1176063.78,"New Hampshire","NH","R"
"KIRSTEN GILLIBRAND",642,1999555.58,"New York","NY","D"
"LAMAR ALEXANDER",368,1446988.16,"Tennessee","TN","R"
"LINDSEY GRAHAM",169,1261560.74,"South Carolina","SC","R"
"LISA MURKOWSKI",280,1545794.59,"Alaska","AK","R"
"MARCO RUBIO",393,1908535.51,"Florida","FL","R"
"MARIA CANTWELL",674,1577878.8,"Washington","WA","D"
"MARK KIRK",528,1699516.02,"Illinois","IL","R"
"MARK WARNER",593,1646800.45,"Virginia","VA","D"
"MARTIN HEINRICH",493,1524709.89,"New Mexico","NM","D"
"MARY L. LANDRIEU",2,536.14,"Louisiana","LA","D"
"MAZIE HIRONO",152,1150398.47,"Hawaii","HI","D"
"MICHAEL B. ENZI",214,1103241.98,"Wyoming","WY","R"
"MICHAEL BENNET",384,1422041.12,"Colorado","CO","D"
"MICHAEL D. CRAPO",390,1690974.32,"Idaho","ID","R"
"MIKE LEE",293,1315893.04,"Utah","UT","R"
"MIKE ROUNDS",538,1262252.32,"South Dakota","SD","R"
"ORRIN G. HATCH",290,1176559.48,"Utah","UT","R"
"PAT ROBERTS",341,1350017.79,"Kansas","KS","R"
"PATRICK J. LEAHY",330,1395190.28,"Vermont","VT","D"
"PATRICK J.TOOMEY",724,1664285.45,"Pennsylvania","PA","R"
"PATTY MURRAY",605,1540618.42,"Washington","WA","D"
"RAND PAUL",919,1116332.73,"Kentucky","KY","R"
"RICHARD BLUMENTHAL",327,1382873.61,"Connecticut","CT","D"
"RICHARD BURR",245,1430553.3,"North Carolina","NC","R"
"RICHARD C. SHELBY",91,860781.79,"Alabama","AL","R"
"RICHARD J. DURBIN",412,1755994.96,"Illinois","IL","D"
"ROB PORTMAN",470,1619270.76,"Ohio","OH","R"
"ROBERT CASEY, JR.",560,1870530,"Pennsylvania","PA","D"
"ROBERT MENENDEZ",204,1560594.25,"New Jersey","NJ","D"
"ROGER WICKER",436,1399063.14,"Mississippi","MS","R"
"RON JOHNSON",624,1448982.08,"Wisconsin","WI","R"
"RON WYDEN",522,1629810.65,"Oregon","OR","D"
"ROY BLUNT",675,1498620.95,"Missouri","MO","R"
"SAXBY CHAMBLISS",1,210,"Georgia","GA","R"
"SHELDON WHITEHOUSE",458,1520626.83,"Rhode Island","RI","D"
"SHELLEY MOORE CAPITO",354,1103122,"West Virginia","WV","R"
"SHERROD BROWN",811,1723657.29,"Ohio","OH","D"
"STEVE DAINES",669,1158612.96,"Montana","MT","R"
"SUSAN M. COLLINS",663,1300731.83,"Maine","ME","R"
"TAMMY BALDWIN",578,1361847.94,"Wisconsin","WI","D"
"TED CRUZ",362,2220516.71,"Texas","TX","R"
"THAD COCHRAN",432,1436994.88,"Mississippi","MS","R"
"THOM TILLIS",435,1441864.94,"North Carolina","NC","R"
"THOMAS R. CARPER",398,1455963.29,"Delaware","DE","D"
"TIM KAINE",464,1495026.25,"Virginia","VA","D"
"TIM SCOTT",256,1164762.55,"South Carolina","SC","R"
"TOM COTTON",592,1196532.33,"Arkansas","AR","R"
"TOM UDALL (NM)",470,1433030.3,"New Mexico","NM","D"
